question,document,score,pertinent,justification,fichier_trouve
quelles sont les garanties de ce regime pour un actif de 43 ans ?,ccpma_santé_oda_ni 2018.pdf,9.0,OUI,"Le document est une notice d’information du régime frais de santé ODA et contient un tableau détaillé des garanties (socle/intermédiaire/supérieur) ainsi que les conditions d’affiliation et de maintien. L’âge de 43 ans n’est pas un critère spécifique, mais les garanties applicables à un actif sont clairement décrites.",True
le salarié souhaite connaitre le délai de carence ou la franchise du contrat IJ ?,202201_TG_CCN52 Av51_Ref131.pdf,9.0,OUI,"Le document indique explicitement le point de départ des indemnités journalières complémentaires en incapacité temporaire (1er jour pour AT/MP/maternité, 4e jour pour maladie/accident de la vie privée), ce qui correspond au délai de carence/franchise IJ. Il ne détaille pas d’autres franchises spécifiques au-delà de ces délais.",True
le salarié souhaite connaitre le délai de carence ou la franchise du contrat IJ ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,"Le document décrit explicitement le point de départ du versement des indemnités journalières complémentaires (IJ) : 1er jour en cas d’AT/MP/maternité et 4e jour en cas de maladie ou accident de la vie privée, ce qui correspond au délai de carence/franchise recherché. Il ne détaille pas d’autres franchises éventuelles au-delà de ces délais.",True
le salarié souhaite connaitre le délai de carence ou la franchise du contrat IJ ?,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,9.0,OUI,"Le document contient une section “Incapacité temporaire de travail” précisant le point de départ du versement des indemnités journalières complémentaires (à compter du 1er jour en AT/MP/maternité et du 4e jour en maladie/accident de la vie privée), ce qui correspond au délai de carence/franchise IJ. Il ne détaille pas d’autres franchises éventuelles au-delà de ces délais.",True
Quelles sont mes garanties en prévoyance (cotisations et prestations) et quelles options existent ?,202201_TG_CCN52 Av51_Ref131.pdf,8.0,OUI,"Le document fournit un tableau détaillé des garanties de prévoyance (incapacité temporaire, invalidité, décès, frais d’obsèques) avec niveaux de prestations et conditions de déclenchement. En revanche, il ne précise pas les cotisations ni les options possibles, et contient surtout des garanties santé.",True
Quelles sont mes garanties en prévoyance (cotisations et prestations) et quelles options existent ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,"Le document est une notice d’information détaillant les garanties de prévoyance (incapacité temporaire/permanente, décès, rente éducation, obsèques), les cotisations (assiette, modalités, cas particuliers) et les dispositifs/options de maintien (portabilité, loi Évin, dispenses santé). Il manque surtout les taux chiffrés de cotisation et d’éventuelles options de surcomplémentaire, qui peuvent dépendre de ce que l’employeur a souscrit.",True
Quelles sont mes garanties en prévoyance (cotisations et prestations) et quelles options existent ?,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,9.0,OUI,"Le document détaille directement les garanties de prévoyance (incapacité temporaire/permanente, décès, rente éducation, obsèques), les règles de cotisations (assiette, modalités, répartition) et les dispositifs/options associés (portabilité, maintien loi Évin, dispenses santé, assistance). Il manque surtout des montants chiffrés de cotisations/éventuelles options tarifées, annoncés comme communiqués annuellement.",True
ai je droit à de l'assistance,83856_ccpma_sante evin_oda_cg ni .pdf,7.0,OUI,"Le document décrit une « garantie assistance » incluse dans un contrat complémentaire santé (conditions, déclenchement, prestations, exclusions, contacts), ce qui permet de déterminer si l’utilisateur a droit à de l’assistance. En revanche, la question étant très générale, il manque des éléments sur la situation personnelle de l’utilisateur pour conclure définitivement.",True
ai je droit à de l'assistance,ccpma_santé_oda_ni 2018.pdf,7.0,OUI,"Le document décrit un régime collectif de frais de santé incluant des « services d’assistance » (annexes 4 et 5) et précise les conditions d’affiliation/maintien (portabilité, loi Evin). Il permet donc de déterminer si l’utilisateur a droit à une assistance dans le cadre de ce contrat, mais la question reste trop générale sans contexte (statut, employeur, affiliation).",True
ai je droit à de l'assistance,202410_CCN 52_CG valant NI_118.pdf,8.0,OUI,"Le document contient un chapitre dédié à la « Garantie assistance » (conditions, bénéficiaires, déclenchement, exclusions), ce qui permet de déterminer si l’utilisateur a droit à une assistance dans le cadre de ce contrat. En revanche, la question étant très générale, il manque le contexte personnel (statut, affiliation) pour conclure de façon certaine.",True
quelle est le détail des prestations pour la garantie décès ?,202201_TG_CCN52 Av51_Ref131.pdf,9.0,OUI,"Le document contient un tableau “Garantie décès” détaillant directement les prestations (capital décès, majorations familiales, rente éducation/double effet, versement anticipé en cas d’IAD, indemnité frais d’obsèques) ainsi que les conditions de versement et de cessation. Il permet donc de répondre précisément à la question.",True
quelle est le détail des prestations pour la garantie décès ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,"Le document détaille explicitement la garantie décès (capital décès, majorations familiales, double effet, bénéficiaires, modalités de règlement, rente d’éducation, indemnité frais d’obsèques et cessation de garantie). Il fournit donc les prestations attendues, même si la question pourrait nécessiter un extrait synthétique.",True
quelle est le détail des prestations pour la garantie décès ?,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,9.0,OUI,"Le document contient une section dédiée « Capital décès » (5.6) détaillant le montant (150% du salaire annuel + majorations conjoint/enfants, double effet), les bénéficiaires, les modalités de règlement et l’assimilation en cas d’invalidité absolue et définitive, ainsi que les prestations associées (rente éducation, indemnité frais d’obsèques). Il répond donc directement à la demande de détail des prestations de la garantie décès.",True
Quel est le montant de la provision au 31 décembre pour un salarié ayant souscrit au 1er mars ?,83083 Bareme des cotisations ODA RG 2021.pdf,3.0,NON,"Le document présente des modalités générales et un barème de cotisations frais de santé 2021, mais ne fournit pas le calcul d’une provision au 31 décembre ni de règle de proratisation pour un salarié ayant souscrit au 1er mars. Les tableaux chiffrés nécessaires semblent absents/illisibles dans l’extrait.",True
Quel est le montant de la provision au 31 décembre pour un salarié ayant souscrit au 1er mars ?,82469 Bareme de cotisation ODA RA 2021.pdf,4.0,NON,"Le document fournit un barème de cotisations frais de santé 2021 (taux en % du PMSS) et des modalités de prélèvement, mais il ne donne pas le calcul d’une provision au 31/12 ni les montants applicables pour une adhésion au 1er mars (proratisation, base, montant mensuel).",True
Quel est le montant de la provision au 31 décembre pour un salarié ayant souscrit au 1er mars ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,4.0,NON,Le document fournit des barèmes de cotisations (forfaits mensuels santé et taux prévoyance/retraite) mais ne donne pas la règle de calcul d’une « provision au 31 décembre » ni le prorata selon une date de souscription (1er mars). Il manque donc les éléments comptables/méthodologiques nécessaires pour déterminer le montant de la provision.,True
Quels sont les modalités auxquels un client peut souscrire lors de la liquidation du PER individuel ?,AUCUN,,,Aucun document sélectionné,False
Comment connaître le montant perceptible pour ce client qui liquide son PER ?,AUCUN,,,Aucun document sélectionné,False
pourrai-je avoir accès au barème de cotisation du contrat-cadre ?,83083 Bareme des cotisations ODA RG 2021.pdf,8.0,OUI,"Le document est explicitement un « barème des cotisations » (régime frais de santé, régime général 2021) et décrit les modalités de calcul et de prélèvement des cotisations. Même si les tableaux chiffrés ne sont pas lisibles dans l’extrait, le contenu vise directement le barème demandé pour le contrat-cadre.",True
pourrai-je avoir accès au barème de cotisation du contrat-cadre ?,82469 Bareme de cotisation ODA RA 2021.pdf,8.0,OUI,"Le document est explicitement un « Barème des cotisations » (régime frais de santé, ODA, 2021) et décrit les modalités de calcul et de prélèvement des cotisations. Il semble toutefois manquer dans l’extrait les tableaux chiffrés (présents en images), ce qui peut limiter l’accès complet au barème.",True
pourrai-je avoir accès au barème de cotisation du contrat-cadre ?,82468_ccpma_santé_oda_cg.pdf,6.0,OUI,"Le document traite des cotisations (Titre 3) et indique que le « montant des cotisations est précisé au Barème des cotisations », mais le barème chiffré lui-même n’apparaît pas dans l’extrait fourni (il renvoie à un document/annexe séparé).",True
sur quelle base est calculée l'indemnité journalière complémentaire de mon salarié ?,202201_TG_CCN52 Av51_Ref131.pdf,9.0,OUI,"Le document précise que l’indemnité journalière complémentaire est calculée en pourcentage du SAB (salaire annuel brut) : 25% sur la tranche A et 70% au-delà (tranches B/C), selon le type d’arrêt. Il fournit donc directement la base de calcul demandée (SAB et tranches).",True
sur quelle base est calculée l'indemnité journalière complémentaire de mon salarié ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,"Le document décrit explicitement la base de calcul de l’indemnité journalière complémentaire (pourcentage du salaire journalier brut, avec distinction selon le plafond journalier de la Sécurité sociale) et précise comment est déterminé le salaire journalier de référence (salaires bruts des 3 mois précédant l’arrêt, selon les règles du régime de base).",True
sur quelle base est calculée l'indemnité journalière complémentaire de mon salarié ?,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,9.0,OUI,"Le document décrit explicitement la base de calcul de l’indemnité journalière complémentaire (article 5.1.4) : salaire journalier brut déterminé comme pour les IJ MSA, à partir du salaire brut habituel des 3 mois précédant l’arrêt (avec rémunérations soumises à cotisations proratisées), et précise les taux appliqués selon le plafond journalier de la Sécurité sociale.",True
quelle méthode de calcul ?,83856_ccpma_sante evin_oda_cg ni .pdf,6.0,OUI,"Le document décrit des méthodes de calcul liées au contrat (cotisations exprimées en % du PMSS, plafonnement Loi Evin 100/125/150%, remboursements en % de la BR et/ou en euros, exemples de calcul de remboursements). En revanche, la question étant très générale (“quelle méthode de calcul ?”), il manque le contexte précis pour savoir quel calcul est recherché.",True
quelle méthode de calcul ?,82468_ccpma_santé_oda_cg.pdf,6.0,OUI,"Le document décrit des méthodes de calcul liées au régime frais de santé (cotisations en % du PMSS, indexation annuelle, réajustement selon le ratio Sinistres/Primes, remboursements en % de la BR ou en euros). En revanche, la question étant très vague (“quelle méthode de calcul ?”), il manque le contexte précis (calcul de quoi) pour que le document réponde directement.",True
quelle méthode de calcul ?,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,7.0,OUI,"Le document décrit plusieurs méthodes de calcul (assiette et taux des cotisations, calcul des indemnités journalières, pension d’invalidité, capital décès, remboursements santé en % BR/FR). Cependant, la question étant très vague, il manque le contexte pour identifier précisément quelle “méthode de calcul” est recherchée.",True
quelle est ma garantie décès ?,202201_TG_CCN52 Av51_Ref131.pdf,9.0,OUI,"Le document contient un tableau « Garantie décès » détaillant directement les prestations (capital décès 150% du salaire annuel brut, majorations par enfant et conjoint, rente éducation, frais d’obsèques). Il permet donc de répondre précisément à la question sur la garantie décès, sous réserve que l’utilisateur relève bien de cette convention/avenant.",True
quelle est ma garantie décès ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,"Le document décrit explicitement la garantie décès (capital décès) avec son montant (150% du salaire annuel brut) et ses majorations familiales, ainsi que les bénéficiaires et conditions de versement. Il permet donc de répondre directement à la question sur la “garantie décès”, sous réserve de vérifier que l’employeur a bien souscrit ces garanties.",True
quelle est ma garantie décès ?,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,9.0,OUI,"Le document contient une section dédiée au « Capital décès » (article 5.6) précisant le montant (150% du salaire brut annuel) et les majorations familiales, ainsi que les bénéficiaires et modalités de versement. Il permet donc de répondre directement à la question sur la garantie décès, sous réserve de connaître le salaire de référence du participant.",True
quelles garanties ai je droit ?,83856_ccpma_sante evin_oda_cg ni .pdf,8.0,OUI,"Le document est une notice/conditions générales d’un contrat de complémentaire santé “Loi Evin” et contient un tableau détaillé des garanties (socle/intermédiaire/supérieur), leurs montants, exclusions et conditions d’ouverture/cessation. Il permet donc de répondre sur les garanties auxquelles l’assuré a droit dans le cadre de ce contrat, même si la question reste générale sans contexte (type de contrat/situation).",True
quelles garanties ai je droit ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,8.0,OUI,"Le document est un tableau détaillé des garanties santé 2020 (socle/intermédiaire/supérieur) avec les niveaux de remboursement par poste (soins courants, hospitalisation, optique, dentaire, audiologie, etc.). Il permet donc de répondre directement à “quelles garanties ai-je droit ?”, même si la réponse dépend du niveau de couverture de l’assuré et de la zone (hors Alsace-Moselle).",True
quelles garanties ai je droit ?,82470 - ODA_Tableau de garanties_AM 2020.pdf,8.0,OUI,"Le document est un tableau détaillé des garanties santé 2020 (socle/intermédiaire/supérieur) avec les niveaux de remboursement par poste (soins courants, hospitalisation, optique, dentaire, etc.), ce qui permet de répondre à “quelles garanties ai-je droit ?”. Il manque toutefois le contexte sur le profil/contrat exact de l’utilisateur pour déterminer précisément la formule applicable.",True
Peux tu me donner des détails sur ces garanties ?,82852_ccpma_sante evin_oda_tg et bar.pdf,9.0,OUI,"Le document détaille précisément les garanties santé (socle/intermédiaire/supérieur) avec niveaux de remboursement par poste (soins courants, hospitalisation, optique, dentaire, aides auditives, etc.), ainsi que des exemples de remboursements et les barèmes de cotisations. Il permet donc de répondre directement à une demande de “détails sur ces garanties”.",True
Peux tu me donner des détails sur ces garanties ?,83856_ccpma_sante evin_oda_cg ni .pdf,9.0,OUI,"Le document est une notice/conditions générales de complémentaire santé “Santé Evin” avec un tableau détaillé des garanties (Socle/Intermédiaire/Supérieur), exclusions, modalités de remboursement et une section assistance. Il permet donc de donner des détails précis sur les garanties, même si la question ne précise pas lesquelles.",True
Peux tu me donner des détails sur ces garanties ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,9.0,OUI,"Le document est un tableau détaillé des garanties santé 2020 (socle/intermédiaire/supérieur) avec niveaux de remboursement par poste (soins courants, hospitalisation, optique, dentaire, audio, etc.) et précisions réglementaires, ce qui permet de donner des détails sur les garanties. Il manque seulement le contexte exact de la demande (niveau choisi, bénéficiaire) pour répondre de façon totalement ciblée.",True
j'ai besoin du tableau de garantie LOI EVIN,82852_ccpma_sante evin_oda_tg et bar.pdf,10.0,OUI,"Le document contient explicitement le « TABLEAU DES GARANTIES SANTÉ ÉVIN » (hors et Alsace-Moselle) ainsi que le barème de cotisations et les règles d’évolution tarifaire prévues par la loi Évin, ce qui répond directement à la demande.",True
j'ai besoin du tableau de garantie LOI EVIN,202410_CCN 52_TG BAR_EVIN_177.pdf,9.0,OUI,"Le document est explicitement intitulé « Convention Collective Nationale de 1952 - Loi Évin » et contient les tableaux de garanties (Alsace-Moselle et hors Alsace-Moselle) ainsi que le barème de cotisations et les règles d’évolution tarifaire Évin, ce qui correspond directement à la demande du tableau de garantie LOI EVIN.",True
quelle est la prise en charge optique au contrat LOI EVIN ?,202410_CCN 52_TG BAR_EVIN_177.pdf,9.0,OUI,"Le document est un tableau de garanties « Loi Évin » et contient une section OPTIQUE détaillant la prise en charge (équipement 2 verres + monture, 100% Santé classe A, classe B, lentilles, chirurgie réfractive, plafonds et périodicité). Il permet donc de répondre directement à la question sur la prise en charge optique au contrat LOI EVIN.",True
quelle est la prise en charge optique au contrat LOI EVIN ?,202410_CCN 52_CG valant NI_118.pdf,9.0,OUI,"Le document est une notice d’information/conditions générales d’un contrat individuel complémentaire santé Loi Evin et contient les tableaux de garanties, dont la rubrique OPTIQUE (100% Santé classe A, monture/verres classe B, lentilles, chirurgie réfractive, règles de renouvellement). Il permet donc de répondre directement à la question sur la prise en charge optique au contrat Loi Evin.",True
pouvez vous m'indiquer le tableau de garanties sante ?,82852_ccpma_sante evin_oda_tg et bar.pdf,10.0,OUI,Le document contient explicitement le « TABLEAU DES GARANTIES SANTÉ ÉVIN » (hors et Alsace-Moselle) avec les niveaux de remboursements (Socle/Intermédiaire/Supérieur). Il répond directement à la demande de tableau de garanties santé.,True
pouvez vous m'indiquer le tableau de garanties sante ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,10.0,OUI,"Le document est précisément un « Tableau des garanties santé 2020 » (ODA, hors Alsace-Moselle) et détaille les niveaux de remboursements par poste (soins courants, hospitalisation, optique, dentaire, audiologie, etc.), ce qui répond directement à la demande.",True
pouvez vous m'indiquer le tableau de garanties sante ?,82470 - ODA_Tableau de garanties_AM 2020.pdf,10.0,OUI,"Le document est précisément un « Tableau des garanties santé 2020 Alsace-Moselle » et détaille les niveaux de remboursements (Socle/Intermédiaire/Supérieur) pour soins courants, hospitalisation, optique, dentaire, aides auditives, etc., ce qui répond directement à la demande.",True
pouvez vous m'indiquer le Remboursements du régime de base ?,202410_Ex Rembts_CCN 52_SANTE_2813.pdf,1.0,NON,"Le contenu du document n’est pas lisible/accessible (uniquement des images sans texte exploitable), donc il est impossible de vérifier s’il indique les remboursements du régime de base.",True
pouvez vous m'indiquer le Remboursements du régime de base ?,202201_TG_CCN52 Av51_Ref131.pdf,9.0,OUI,"Le document contient un tableau détaillé des garanties santé avec une colonne explicite « (RO) Remboursement du régime de base » (hors Alsace-Moselle et Alsace-Moselle) indiquant les taux de remboursement (ex. 70% BR, 60% BR, etc.). Il permet donc de répondre directement à la demande sur les remboursements du régime de base.",True
pouvez vous m'indiquer le Remboursements du régime de base ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,Le document contient des tableaux détaillés indiquant explicitement la colonne « (RO) Remboursement du régime de base » (hors Alsace-Moselle et Alsace-Moselle) pour de nombreux postes de soins. Il permet donc de répondre directement à la demande sur les remboursements du régime de base.,True
quel remboursement pour les lunettes et verres ?,82852_ccpma_sante evin_oda_tg et bar.pdf,10.0,OUI,"Le document contient un tableau détaillé des garanties « OPTIQUE » (montures, verres classe A/100% Santé et classe B, lentilles) avec les niveaux de remboursement selon les formules (Socle/Intermédiaire/Supérieur) et des exemples chiffrés de remboursements pour des équipements lunettes/verres.",True
quel remboursement pour les lunettes et verres ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,10.0,OUI,"Le document contient un tableau détaillé des garanties « OPTIQUE » (montures, verres classe A/B, 100% Santé, plafonds en euros selon niveau de couverture), ce qui répond directement à la question sur le remboursement des lunettes et verres.",True
quel remboursement pour les lunettes et verres ?,82470 - ODA_Tableau de garanties_AM 2020.pdf,9.0,OUI,"Le document contient un tableau détaillé des garanties « OPTIQUE » avec les niveaux de remboursement pour montures et verres (100% Santé classe A, classe B, plafonds en euros, lentilles, renouvellement). Il permet donc de répondre directement à la question sur le remboursement des lunettes et verres.",True
quels sont les différents montants de remboursement en optique ?,82852_ccpma_sante evin_oda_tg et bar.pdf,9.0,OUI,"Le document contient un tableau détaillé des garanties « OPTIQUE » avec les montants de remboursement (classe A/100% santé, classe B, monture, verres simples/complexes/très complexes, lentilles, chirurgie) selon les niveaux Socle/Intermédiaire/Supérieur et selon la zone (Alsace-Moselle ou non). Il permet donc de répondre directement à la question sur les différents montants de remboursement en optique.",True
quels sont les différents montants de remboursement en optique ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,9.0,OUI,"Le document contient un tableau détaillé des garanties optiques avec les montants de remboursement (100% Santé, monture/verres classe A et B, lentilles, chirurgie de l’œil) selon les niveaux Socle/Intermédiaire/Supérieur. Il répond directement à la question sur les différents montants de remboursement en optique.",True
quels sont les différents montants de remboursement en optique ?,82470 - ODA_Tableau de garanties_AM 2020.pdf,9.0,OUI,"Le document contient un tableau détaillé des garanties « OPTIQUE » avec les montants de remboursement (100% Santé, monture/verres classe A/B, lentilles, chirurgie de l’œil) selon plusieurs niveaux de couverture (Socle, Intermédiaire, Supérieur). Il permet donc de répondre directement à la question sur les différents montants de remboursement en optique.",True
quelle est ma prise en charge en cas d'hospitalisation ?,82852_ccpma_sante evin_oda_tg et bar.pdf,9.0,OUI,"Le document contient un tableau détaillé des garanties « Hospitalisation » (frais de séjour, honoraires, forfait journalier, chambre particulière, lit d’accompagnant) avec niveaux de remboursement selon les formules et des exemples chiffrés, ce qui permet de répondre directement à la prise en charge en cas d’hospitalisation.",True
quelle est ma prise en charge en cas d'hospitalisation ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,8.0,OUI,"Le document contient un tableau de garanties santé avec une rubrique “HOSPITALISATION” détaillant la prise en charge (frais de séjour, honoraires, forfait actes lourds, forfait journalier, chambre particulière, lit d’accompagnant). Il ne précise toutefois pas les démarches pratiques d’hospitalisation (tiers payant, accord préalable, réseau, etc.).",True
quelle est ma prise en charge en cas d'hospitalisation ?,82470 - ODA_Tableau de garanties_AM 2020.pdf,9.0,OUI,"Le document est un tableau de garanties santé qui détaille explicitement la prise en charge en cas d’hospitalisation (frais de séjour, honoraires, forfait actes lourds, forfait journalier, chambre particulière, lit d’accompagnant) selon les niveaux de couverture. Il permet donc de répondre directement à la question sur la prise en charge lors d’une hospitalisation.",True
quels sont les montants d'indemnisation ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,8.0,OUI,"Le document est un tableau de garanties santé 2020 indiquant les niveaux de remboursement et plusieurs montants forfaitaires (ex. chambre particulière, médecines douces, orthodontie non remboursée, primes). Il ne donne toutefois pas un montant unique d’« indemnisation » sans préciser le type de dépense/garantie concerné.",True
quels sont les montants d'indemnisation ?,82470 - ODA_Tableau de garanties_AM 2020.pdf,8.0,OUI,"Le document est un tableau de garanties santé 2020 détaillant les niveaux de remboursements/indemnisation (en % BR, frais réels et forfaits en €) pour de nombreux postes (soins, hospitalisation, optique, dentaire, etc.). Il ne donne toutefois pas un “montant d’indemnisation” unique, mais des montants variables selon l’acte et le niveau de garantie.",True
quels sont les montants d'indemnisation ?,202410_Ex Rembts_CCN 52_SANTE_2813.pdf,0.0,NON,"Le contenu du document n’est pas lisible/exploitable (uniquement des images sans texte accessible), donc il est impossible d’identifier des montants d’indemnisation.",True
quelles taux de remboursement pour ma garantie décès ?,202201_TG_CCN52 Av51_Ref131.pdf,8.0,OUI,"Le document contient un tableau « Garantie décès » précisant les niveaux de prestation (capital décès 150% du salaire annuel brut, majorations par enfant et conjoint, rente éducation, frais d’obsèques). Il ne parle toutefois pas de “taux de remboursement” au sens strict, mais de montants/percentages de capital versé.",True
quelles taux de remboursement pour ma garantie décès ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,8.0,OUI,"Le document décrit directement la garantie décès (capital décès, majorations familiales, rente d’éducation, frais d’obsèques) avec les montants exprimés en % du salaire annuel brut et les conditions de versement. En revanche, il ne s’agit pas de “taux de remboursement” au sens santé, mais de niveaux de prestations décès.",True
quelles taux de remboursement pour ma garantie décès ?,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,8.0,OUI,"Le document contient une section « Capital décès » précisant le montant de la prestation (150% du salaire annuel brut) et ses majorations (conjoint/concubin/PACS, enfants à charge), ce qui répond directement à la question sur le niveau de remboursement/indemnisation en cas de décès. En revanche, il ne donne pas un « taux de remboursement » au sens santé, mais un capital exprimé en pourcentage du salaire.",True
jusqu'à quel âge un étudiant peut bénéficier du contrat santé de son parent,ccpma_santé_oda_ni 2018.pdf,9.0,OUI,Le document définit explicitement la notion d’« enfant à charge » (ayant droit) et précise la limite d’âge : moins de 26 ans si l’enfant est étudiant (ou alternant/demandeur d’emploi non indemnisé). Cette information répond directement à la question sur l’âge jusqu’auquel un étudiant peut rester couvert via le contrat santé du parent.,True
jusqu'à quel âge un étudiant peut bénéficier du contrat santé de son parent,82468_ccpma_santé_oda_cg.pdf,9.0,OUI,"Le document définit précisément les « enfants à charge » comme ayants droit, incluant les étudiants « âgés de moins de 26 ans ». Il permet donc de répondre directement à la question sur l’âge limite de couverture d’un étudiant via le contrat santé du parent.",True
jusqu'à quel âge un étudiant peut bénéficier du contrat santé de son parent,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,8.0,OUI,"Le document définit précisément les “enfants à charge” (ayants droit) et fixe une limite d’âge pour les étudiants : moins de 28 ans s’ils poursuivent des études/apprentissage ou sont demandeurs d’emploi non indemnisés. Il ne traite toutefois pas explicitement du “contrat santé du parent” en général, mais d’un régime collectif spécifique (CCN 1952).",True
